metro_time,next_bus_time,next_bus_line,wait_min,wait_class,period
06:44:00,07:12:00,54,28.0,>15,manha
07:14:00,07:32:00,54,18.0,>15,manha
07:44:00,07:52:00,54,8.0,<=10,manha
07:54:00,08:12:00,54,18.0,>15,manha
08:04:00,08:12:00,54,8.0,<=10,manha
08:14:00,08:32:00,54,18.0,>15,manha
08:24:00,08:32:00,54,8.0,<=10,manha
08:34:00,08:52:00,54,18.0,>15,manha
08:44:00,08:52:00,54,8.0,<=10,manha
08:54:00,09:12:00,54,18.0,>15,manha
09:04:00,09:12:00,54,8.0,<=10,manha
09:14:00,09:32:00,54,18.0,>15,manha
09:24:00,09:32:00,54,8.0,<=10,manha
09:34:00,09:52:00,54,18.0,>15,manha
09:44:00,09:52:00,54,8.0,<=10,manha
10:14:00,10:32:00,54,18.0,>15,manha
10:44:00,10:52:00,54,8.0,<=10,manha
11:14:00,11:32:00,54,18.0,>15,manha
11:44:00,11:52:00,54,8.0,<=10,manha
12:14:00,12:32:00,54,18.0,>15,meio_dia
12:44:00,12:52:00,54,8.0,<=10,meio_dia
13:14:00,13:32:00,54,18.0,>15,meio_dia
13:44:00,13:52:00,54,8.0,<=10,meio_dia
14:14:00,14:32:00,54,18.0,>15,meio_dia
14:44:00,14:52:00,54,8.0,<=10,meio_dia
15:14:00,15:32:00,54,18.0,>15,meio_dia
16:24:00,16:32:00,54,8.0,<=10,meio_dia
16:34:00,16:52:00,54,18.0,>15,meio_dia
16:54:00,17:12:00,54,18.0,>15,meio_dia
17:04:00,17:12:00,54,8.0,<=10,tarde_noite
17:24:00,17:32:00,54,8.0,<=10,tarde_noite
17:34:00,17:52:00,54,18.0,>15,tarde_noite
17:54:00,18:12:00,54,18.0,>15,tarde_noite
18:04:00,18:12:00,54,8.0,<=10,tarde_noite
18:24:00,18:32:00,54,8.0,<=10,tarde_noite
18:34:00,18:52:00,54,18.0,>15,tarde_noite
18:54:00,19:12:00,54,18.0,>15,tarde_noite
19:04:00,19:12:00,54,8.0,<=10,tarde_noite
19:44:00,19:52:00,54,8.0,<=10,tarde_noite
20:44:00,20:52:00,54,8.0,<=10,tarde_noite
21:44:00,,,,sem_ligacao,tarde_noite
22:44:00,,,,sem_ligacao,tarde_noite
23:44:00,,,,sem_ligacao,tarde_noite
