idx,bus_line,bus_line_passage,bus_stop,bus_time,metro_stop,metro_time_from_origin,origin_ref,date
1,54+38,54,Portagem,07:38:00,Portagem,06:28:00,Portela,2026-05-11
2,54+38,54,Portagem,08:18:00,Portagem,06:58:00,Portela,2026-05-11
3,54+38,54,Portagem,08:58:00,Portagem,07:28:00,Portela,2026-05-11
4,54+38,54,Portagem,09:38:00,Portagem,07:38:00,Portela,2026-05-11
5,54+38,54,Portagem,10:18:00,Portagem,07:51:00,Portela,2026-05-11
6,54+38,54,Portagem,10:58:00,Portagem,07:59:00,Portela,2026-05-11
7,54+38,54,Portagem,11:38:00,Portagem,08:08:00,Portela,2026-05-11
8,54+38,54,Portagem,12:18:00,Portagem,08:22:00,Portela,2026-05-11
9,54+38,54,Portagem,12:58:00,Portagem,08:31:00,Portela,2026-05-11
10,54+38,54,Portagem,13:38:00,Portagem,08:41:00,Portela,2026-05-11
11,54+38,54,Portagem,14:18:00,Portagem,08:51:00,Portela,2026-05-11
12,54+38,54,Portagem,14:58:00,Portagem,09:01:00,Portela,2026-05-11
13,54+38,54,Portagem,15:38:00,Portagem,09:11:00,Portela,2026-05-11
14,54+38,54,Portagem,16:18:00,Portagem,09:21:00,Portela,2026-05-11
15,54+38,54,Portagem,16:58:00,Portagem,09:31:00,Portela,2026-05-11
16,54+38,54,Portagem,17:38:00,Portagem,09:41:00,Portela,2026-05-11
17,54+38,54,Portagem,18:18:00,Portagem,09:51:00,Portela,2026-05-11
18,54+38,54,Portagem,18:58:00,Portagem,10:01:00,Portela,2026-05-11
19,54+38,54,Portagem,19:38:00,Portagem,10:11:00,Portela,2026-05-11
20,54+38,54,Portagem,20:18:00,Portagem,10:22:00,Portela,2026-05-11
21,54+38,54,Portagem,21:00:00,Portagem,10:28:00,Portela,2026-05-11
22,54+38,,Portagem,,Portagem,10:58:00,Portela,2026-05-11
23,54+38,,Portagem,,Portagem,11:28:00,Portela,2026-05-11
24,54+38,,Portagem,,Portagem,11:58:00,Portela,2026-05-11
25,54+38,,Portagem,,Portagem,12:28:00,Portela,2026-05-11
26,54+38,,Portagem,,Portagem,12:58:00,Portela,2026-05-11
27,54+38,,Portagem,,Portagem,13:28:00,Portela,2026-05-11
28,54+38,,Portagem,,Portagem,13:58:00,Portela,2026-05-11
29,54+38,,Portagem,,Portagem,14:28:00,Portela,2026-05-11
30,54+38,,Portagem,,Portagem,15:28:00,Portela,2026-05-11
31,54+38,,Portagem,,Portagem,16:51:00,Portela,2026-05-11
32,54+38,,Portagem,,Portagem,17:21:00,Portela,2026-05-11
33,54+38,,Portagem,,Portagem,17:51:00,Portela,2026-05-11
34,54+38,,Portagem,,Portagem,18:21:00,Portela,2026-05-11
35,54+38,,Portagem,,Portagem,18:51:00,Portela,2026-05-11
36,54+38,,Portagem,,Portagem,19:21:00,Portela,2026-05-11
37,54+38,,Portagem,,Portagem,19:42:00,Portela,2026-05-11
38,54+38,,Portagem,,Portagem,20:28:00,Portela,2026-05-11
39,54+38,,Portagem,,Portagem,21:28:00,Portela,2026-05-11
40,54+38,,Portagem,,Portagem,22:28:00,Portela,2026-05-11
41,54+38,,Portagem,,Portagem,23:28:00,Portela,2026-05-11
